reference_type,author,year,title,publisher,volume,issue,pages,abstract,url,field,subcategory,keywords,journal
Journal Article,"M., Tagliabue Manfren, L. C., Cecconi, F. R., Ricci, M.",2022,Long-Term Techno-Economic Performance Monitoring to Promote Built Environment Decarbonisation and Digital Transformation-A Case Study,Multidisciplinary Digital Publishing Institute (MDPI),14,2,,"Buildings' long-term techno-economic performance monitoring is critical for benchmarking in order to reduce costs and environmental impact while providing adequate services. Reliable building stock performance data provide a fundamental knowledge foundation for evidence-based energy efficiency interventions and decarbonisation strategies. Simply put, an adequate understanding of building performance is required to reduce energy consumption, as well as associated costs and emissions. In this framework, Variable-base degree-days-based methods have been widely used for weather normalisation of energy statistics and energy monitoring for Measurement and Verification (M & V) purposes. The base temperature used to calculate degree-days is determined by building thermal characteristics, operation strategies, and occupant behaviour, and thus varies from building to building. In this paper, we develop a variable-base degrees days regression model, typically used for energy monitoring and M & V, using a proxy"" variable, the cost of energy services. The study's goal is to assess the applicability of this type of model as a screening tool to analyse the impact of efficiency measures, as well as to understand the evolution of performance over time, and we test it on nine public schools in the Northern Italian city of Seregno. While not as accurate as M & V techniques, this regression-based approach can be a low-cost tool for tracking performance over time using cost data typically available in digital format and can work reasonably well with limited resolution, such as monthly data. The modelling methodology is simple, scalable and can be automated further, contributing to long-term techno-economic performance monitoring of building stock in the context of incremental built environment digitalization.""",,CE,Energy,data-driven methods; data-driven energy modelling; regression-based approaches; interpretable machine-learning; energy analytics; techno-economic analysis; Measurement and Verification,Sustainability
Journal Article,"S., Shin Mangalathu, H., Choi, E., Jeon, J. S.",2021,Explainable machine learning models for punching shear strength estimation of flat slabs without transverse reinforcement,Elsevier Ltd,39,,,"Flat slabs, despite their aesthetic qualities and widespread use in construction, are susceptible to brittle shear failure. In addition, although design provisions are available, they are often associated with high bias and variance. This study evaluates the efficiency of machine learning-based approaches in establishing accurate prediction models for the punching shear strength of flat slabs without transverse reinforcement. To this end, 380 experimental results from various literature are assembled in this study. In addition to linear regression, seven machine learning methods as ridge regression, support vector regression, decision tree, K-nearest neighbors, random forest, adaptive boosting, and extreme gradient boosting—are considered in this study to obtain the best prediction model for the punching shear strength of flat slabs. Based on random assignment of the data into training and test sets and a performance evaluation of the test set, the extreme gradient boosting model is shown to have the highest coefficient of determination and lowest mean square error estimate. The superior performance of this machine learning model is further underscored through comparison of its shear strength predictions with those of existing code provisions and empirical models. It is noted that the extreme gradient boosting model has a coefficient of determination of 0.98, and the associated coefficient of variation is 0.09. This study also employs the SHapley Additive exPlanation method to explain the importance and contribution of the factors that influence the punching shear strength in the extreme gradient boosting model. © 2021 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85101879398&doi=10.1016%2Fj.jobe.2021.102300&partnerID=40&md5=b1014642c0998963427bd1d1dd7abdc5,CE,Structural,Punching shear strength; Flat slabs; Machine learning; Extreme gradient boosting; SHapley additive exPlanations,Journal of Building Engineering
Journal Article,"S. K., Srivastava Mangla, P. R., Eachempati, P., Tiwari, A. K.",2024,Exploring the impact of key performance factors on energy markets: From energy risk management perspectives,Elsevier B.V.,131,,,"Currently, there are limited mechanisms to control harmful greenhouse gas emissions. There is a need to contain these emissions at the source level; understanding the root cause is imperative. This would aid in monitoring and curbing those factors to minimize these harmful emissions and control incidences of energy risk. While there are studies evidencing the role of generic indicators like per capita carbon consumption on greenhouse gas levels, these are also equally influenced by climatic risk factors such as surface temperature. Research suggests that climatic factors significantly impact fluctuating greenhouse gas emissions. However, existing studies have not quantified the precise extent to which these factors drive harmful emissions, which, in turn, also curb energy efficiency and increase the costs of generation of energy alternatives. To address this gap, the outcome variable 'Total greenhouse gas emissions including land-use change and forestry' is examined using advanced machine learning algorithms such as Random Forest, Multi-layer perceptron models and Deep Neural Networks. Algorithms are chosen in the hierarchical order of accuracy to capture the differential capabilities of detecting the causation factors of harmful emissions. While the above algorithms see the essential features in terms of absolute value, there is a need to examine how each factor contributes to the emissions relative to the others. The Shapley framework of Explainable AI is therefore employed to scientifically assess the influence of different factors on consumption levels. The outcomes of the Shapley analysis are then validated through regression and further supported by the Fuzzy Analytical Hierarchy Process (AHP). The research also proposes adopting association rule mining to analyze the co-occurrence of specific climatic conditions on energy consumption. The findings of this study offer valuable insights for both society and experts in climate and energy, enabling them to develop specific strategies and targeted climatic policies for effective energy risk management. This would present an opportunity for economic transformation, job creation, technological advancement, and improved environmental and public health outcomes. While initial costs and challenges may be associated with a transition, the long-term benefits would help attain sustainable energy economics.",,CE,Energy,Random Forest; Multi-layer perceptron; Deep Neural Network; XAI; Regression; Fuzzy AHP; Association rule mining; Shapley; Climatic risk; Weather; Energy risk management; Energy economics; Energy efficiency; Energy demand forecasting,Energy Economics
Journal Article,"D. R., Cerqueira Martins, S. M., Santos, C. P.",2024,Seeking optimal and explainable deep learning models for inertial-based posture recognition,Elsevier B.V.,306,,,"Deep Learning (DL) models, widely used in several domains, are often applied for posture recognition. This work researches five DL architectures for posture recognition: Convolutional Neural Network (CNN), Long Short-Term Memory (LSTM), Transformer, hybrid CNN-LSTM, and hybrid CNN-Transformer. Agriculture and construction working postures were addressed as use cases, by acquiring an inertial dataset during the simulation of their typical tasks in circuits. Since model performance greatly depends on the choice of the hyperparameters, a grid search was conducted to find the optimal hyperparameters. An extensive analysis of the hyperparameter combinations’ effects is presented, identifying some general tendencies. Moreover, to unveil the black-box DL models, we applied the Gradient-weighted Class Activation Mapping (Grad-CAM) explainability method on CNN's outputs to better understand the model's decision-making, in terms of the most important sensors and time steps for each window output. Innovative hybrid architectures combining CNN and LSTM or Transformer encoder were implemented, by using the convolution feature maps as LSTM's or Transformer's inputs and fusing both subnetworks’ outputs with weights learned during the training. All architectures successfully recognized the eight posture classes, with the best model of each architecture exceeding 91.5% F1-score in the test. A top F1-score of 94.33%, with an inference time of just 0.29 ms (in a regular laptop), was achieved by a hybrid CNN-Transformer. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208670686&doi=10.1016%2Fj.knosys.2024.112700&partnerID=40&md5=766d2122278fd344082f455e38a94950,CEM,Safety,Deep learning; Explainable artificial intelligence; Inertial-based posture recognition,Knowledge-Based Systems
Journal Article,"L., Sheehan Masello, B., Castignani, G., Guillen, M., Murphy, F.",2025,Predictive Modeling for Driver Insurance Premium Calculation Using Advanced Driver Assistance Systems and Contextual Information,Institute of Electrical and Electronics Engineers (IEEE),26,2,2202–2211,"Telematics devices have transformed driver risk assessment, allowing insurers to tailor premiums based on detailed evaluations of driving habits. However, integrating Advanced Driver Assistance Systems (ADAS) and contextualized geolocation data for predictive improvements remains underexplored due to the recent emergence of these technologies. This article introduces a novel risk assessment methodology that periodically computes weekly insurance premiums by incorporating ADAS risk indicators and contextualized geolocation data. Using a naturalistic dataset from a fleet of 354 commercial drivers over a year, we modeled the relationship between past claims and driving data, and use that to compute weekly premiums that penalize risky driving situations. Risk predictions are modeled through claims frequency using Poisson regression and claims occurrence probability using machine learning models, including XGBoost and TabNet, and interpreted with SHAP. The dataset is divided into weekly profiles containing aggregated driving behavior, ADAS events, and contextual attributes. Results indicate that both modeling approaches show consistent attribute impacts on driver risk. For claims occurrence probability, XGBoost achieved the lowest Log Loss, reducing it from 0.59 to 0.51 with the inclusion of all attributes; for claims frequency, no statistically significant differences were observed when including all attributes. However, adding ADAS and contextual attributes allows for a comprehensive and disaggregated interpretation of the resulting weekly premium. This dynamic pricing can be incorporated into the insurance lifecycle, enabling bespoke risk assessment based on emerging technologies, the driving context, and driver behavior.",,CEM,Risk and Uncertainty,Advanced driver assistance systems; explainable artificial intelligence; generalized linear models; machine learning; risk assessment,IEEE Transactions on Intelligent Transportation Systems (T-ITS)
Journal Article,"A., Matos Matta, L. M., Silva, J. M., Bastos Gomes, M., Pilastri, A., Cortez, P.",2025,A predictive analytics framework for early detection of production halts and quality issues,Elsevier Inc.,16,,,"This study presents a Machine Learning (ML) framework for an Ahead-of-Time (AoT) prediction of production halts and defects in particleboard manufacturing that uses only pre-production input variables. The proposed approach incorporates both Single-Task Learning (STL) and Multi-Task Learning (MTL) paradigms, which are evaluated across three production lines under two modeling strategies: Line-Specific Modeling (LSM) and Line-Agnostic Modeling (LAM). The experimental evaluation benchmarks a lightweight Logistic Regression (LogR) model against three Automated Machine Learning (AutoML) techniques: H2O AutoML, Ludwig, and a Bayesian-optimized Deep Feedforward Network (DFFN). Results show that the STL-LSM combination using LogR achieves the highest overall predictive performance. To enhance model interpretability, we apply two model-agnostic eXplainable Artificial Intelligence (XAI) techniques: SHapley Additive exPlanations (SHAP) and One-Dimensional Sensitivity Analysis (1DSA). These methods generate feature importance rankings across targets and production lines, which are evaluated using quantitative (normalized distance metrics) and qualitative measures (alignment with domain expert insights). The XAI findings reveal a strong consistency between SHAP and 1DSA, with 1DSA requiring a substantially lower computational cost. Moreover, the convergence between model-derived interpretations and expert feedback highlights the practical relevance of the proposed ML framework in supporting data-driven decision-making for particleboard production planning. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010932446&doi=10.1016%2Fj.dajour.2025.100607&partnerID=40&md5=db8dcb8c45a76356759643fb2f55075f,CEM,Productivity / Workforce,Explainable Artificial Intelligence; Machine Learning; Quality control; Industry 4.0; Predictive modeling; Process optimization,Decision Analytics Journal
Journal Article,"C., Qu Meng, D., Duan, X.",2024,Cost Estimation of Metro Construction Projects Using Interpretable Machine Learning,American Society of Civil Engineers (ASCE),38,6,,"The metro, renowned as an environmentally friendly mode of transportation due to its low energy consumption and minimal pollution, plays a crucial role in achieving sustainable urban growth. Due to the scarcity of information in the early stages of metro construction projects and the subjectivity of cost estimation (which relies heavily on the estimator's experience), it is always difficult to guarantee the accuracy of metro construction project cost estimation. Furthermore, the existing methodological models commonly used for cost estimation do not adequately consider the interpretability of the estimation results, making it difficult to promote their application in real-world scenarios. In this paper, an interpretable machine learning method is introduced into the study of cost estimation of metro construction projects, and a maximum relevance and minimum redundancy (mRMR)-light gradient boosting machine (LightGBM)-Shapley additive explanations (SHAP) interpretable assisted investment decision-making framework is proposed. The results show that the negative impact of variable multicollinearity on model prediction is avoided by quantitatively identifying the key driving variables of costing through mRMR based on the historical data of metro construction projects and macroeconomic data. LightGBM is employed to predict the cost of metro construction projects with a mean absolute percentage error of 13.00%, surpassing the accuracy of the five baseline models. The SHAP method's introduction explains the influence of key driving variables on the model prediction response at both global and local levels, which improves the decision trust of the cost estimation of metro construction projects. The study takes into account the impact of key driving variables on the model's prediction response in a real-world context and balances the needs for estimation accuracy and variable interpretability in real-world scenarios. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85202615747&doi=10.1061%2FJCCEE5.CPENG-6018&partnerID=40&md5=54023f90c0353c6919dc281daaaa009e,CEM,Cost Estimation / Bidding,Metro construction projects; Cost estimation; Interpretable machine learning; Light gradient boosting machine (LightGBM); Shapley additive explanations (SHAP),Journal of Computing in Civil Engineering
Journal Article,"S. Q., Shi Meng, Z. M., Ouyang, X. W., Zhao, Y. Z., Xia, C. Z.",2025,Compressive strength and flowability of high volume eco-binder high performance concrete: A physical-data dual drive,Elsevier Ltd,74,,,"This study explores the influence of high-volume eco-binders, including ground granulated blast furnace slag (BFS) and fly ash (FLA), on the performance of high-performance concrete (HPC) through physical-data dual drive. Initially, the basic properties of the mixtures are assessed via compressive strength and slump tests. Nanoindentation experiments are conducted to examine the interfacial transition zone (ITZ) properties. The findings indicate that mixtures incorporating BFS or FLA demonstrate optimal improvements in compressive strength, flowability, and ITZ performance at substitution rates between 10 % and 30 % under the same curing conditions. However, substitution rates of 50 % or higher result in reduced performance. Machine learning techniques play a central role in this research because they can accurately predict specific properties. Data distribution analysis is utilized to guide the development of ensemble learning models. The integration of SHapley Additive Explanations (SHAP) enhances model interpretability. XGBoost outperforms traditional models, including LR, BP, KNN, SVR, and ANN. Specifically, XGBoost achieves an RMSE of 4.557, MAE of 2.687, MAPE of 8.647 %, and R2 of 0.929 for compressive strength, and an RMSE of 3.495, MAE of 1.405, MAPE of 0.938 %, and R2 of 0.968 for flowability. SHAP analysis identifies Age and Admixtures as the most significant factors influencing both compressive strength and flowability in HPC. This study provides valuable insights into improving the performance of eco-binder high-performance concrete, demonstrating the potential of machine learning in predicting and optimizing concrete performance and offering a data-driven approach to support the sustainable development of eco-friendly construction materials.",,CE,Materials,Prediction; Ensemble learning; Machine learning; Interpretable artificial intelligence; Feature importance,Structures
Journal Article,"Z., Kazanavičius Meškauskas, E.",2022,About the New Methodology and XAI-Based Software Toolkit for Risk Assessment,Multidisciplinary Digital Publishing Institute (MDPI),14,9,,"There are different approaches in different areas of what the risk is. ISO 31000 risk management standards describe risk as the effect of uncertainty on objectives. Many existing risk assessment procedures are based on the assumption that risk is the amount of any damage or loss multi-plied by the probability of an event that could cause the damage. We are proposing a new risk approach, based on Hillson’s positive risk philosophy, that risk is not just a threat but also a com-position of new opportunities, efforts that need to be put in, and uncertainty. For this approach, we composed a risk formula and a methodology based on that formula. A prototypical software tool was developed, and an experiment was performed using this tool to evaluate the risk of several interconnected projects and validate the developed risk assessment methodology. It should be mentioned that, in the methodology, the decision-making process is performed traceably; therefore, it can be stated that it has explainable artificial intelligence (XAI) traits. © 2022 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130046076&doi=10.3390%2Fsu14095496&partnerID=40&md5=73f7e2b2322e9af072334408d63e2d15,CEM,Risk and Uncertainty,dynamic SWOT analysis;computing with words; fuzzy SWOT maps; XAI-based system analysis; SWOT+CWW network; risk analysis,Sustainability
Journal Article,"Q., Gao Miao, Z., Zhu, K., Guo, Z., Sun, Q., Zhou, L.",2025,Interpretable machine learning model for compressive strength prediction of self-compacting concrete with recycled concrete aggregates and SCMs,Elsevier Ltd,108,,,"The composite comprising waste concrete and industrial by-products for producing recycled aggregate self-compacting concrete (RA-SCC) mitigates natural resource depletion and reduces greenhouse gas emissions, thus offering significant environmental benefits. This study aims to predict the compressive strength of RA-SCC by using five interpretable machine learning (ML) methods including M5P model tree, Support Vector Regression (SVR), Multilayer Perceptron (MLP), Random Forest (RF) and Extreme Gradient Boosting (XGBoost). To develop the ML models, a dataset containing 454 samples was constructed, encompassing experimental data with varying material dosages, curing ages, and recycled aggregate properties. The hyperparameters were optimized using Bayesian optimization and 10-fold cross-validation. Additionally, the SHapley Additive exPlanations (SHAP) method was employed to assess the importance and contributions of the input parameters affecting compressive strength. The results indicated that the XGBoost model achieved the highest accuracy among the tested models, with R2 = 0.909, RMSE = 4.99 MPa, and MAE = 3.54 MPa. SHAP analysis revealed that cement content and age were the most influential factors positively affecting compressive strength predictions, while fly ash and recycled concrete aggregate content exhibited the highest negative effects. The ML models proposed in this study provide a systematic evaluation of the compressive strength predictions for RA-SCC and offer valuable insights for concrete mix design and quality control. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005604071&doi=10.1016%2Fj.jobe.2025.112965&partnerID=40&md5=36ec906422ba072c5c5edaab1a908cdc,CE,Materials,Recycled aggregate self-compacting concrete; Compressive strength; Machine learning;XGBoost; Bayesian optimization,Journal of Building Engineering
Journal Article,"A. M., Islam Momshad, M. H., Datta, S. D., Sobuz, M. H. R., Aayaz, R., Kabbo, M. K. I., Khan, M. M. H.",2025,Assessing the engineering properties and environmental impact with explainable machine learning analysis of sustainable concrete utilizing waste banana leaf ash as a partial cement replacement,Elsevier Ltd,24,,,"The production of cement is crucial for sustainable building construction but is costly and contributes significantly to environmental pollution. To address these issues, this research investigates the potential of partially replacing cement with waste banana leaf ash (BLA), a pozzolanic material, in concrete mixtures. The aim of this study is to evaluate the fresh, mechanical, durability, and microstructural properties of BLA-incorporated concrete, alongside its environmental and economic impacts. Experimental methods assessed the workability (slump and compaction factor), mechanical properties (compressive, split-tensile strength, and modulus of elasticity), and durability aspects through Rapid Chloride Penetration Test (RCPT), Water Permeability Test (WPT), sorptivity, and electrical resistivity tests. Results indicate that as BLA content increases, workability declines. Mechanically, BLA concrete generally shows reduced performance; however, the 10% BLA mix improves strength compared to other BLA percentages. Durability tests reveal significant improvements from 28 to 91 days for the 10% BLA mix, with RCPT, WPT, sorptivity, and resistivity increasing by 22.44%, 19.55%, 49.02%, and 18.72%, respectively. Microstructural analysis via Scanning Electron Microscopy (SEM) indicates a decrease in ettringite formation with BLA. Additionally, machine learning models were applied to predict compressive strength, identifying influential factors using SHapley additive explanations (SHAP) and Partial Dependence Plot (PDP) analyses. The 10% BLA concrete mix achieved a 14.78% reduction in Global Warming Potential (GWP) compared to conventional concrete, with a GWP of 426.29 kgCO2-eq/kg, and proved cost-effective. These findings suggest that a 10% cement replacement with BLA presents an optimal balance of environmental sustainability, cost-effectiveness, and strength for construction housing sector. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85214807947&doi=10.1016%2Fj.clet.2025.100886&partnerID=40&md5=84866644a3415368d36bb455a5175dd8,CE,Materials,Banana leaf ash; Pozzolanic material; Durability properties; Sustainable construction materials; Microscopic analysis,Cleaner Engineering and Technology
Journal Article,"L., Carrasco-González Monje, R. A., Rosado, C., Sánchez-Montañés, M.",2022,Deep Learning XAI for Bus Passenger Forecasting: A Use Case in Spain,Multidisciplinary Digital Publishing Institute (MDPI),10,9,,"Time series forecasting of passenger demand is crucial for optimal planning of limited resources. For smart cities, passenger transport in urban areas is an increasingly important problem, because the construction of infrastructure is not the solution and the use of public transport should be encouraged. One of the most sophisticated techniques for time series forecasting is Long Short Term Memory (LSTM) neural networks. These deep learning models are very powerful for time series forecasting but are not interpretable by humans (black-box models). Our goal was to develop a predictive and linguistically interpretable model, useful for decision making using large volumes of data from different sources. Our case study was one of the most demanded bus lines of Madrid. We obtained an interpretable model from the LSTM neural network using a surrogate model and the 2-tuple fuzzy linguistic model, which improves the linguistic interpretability of the generated Explainable Artificial Intelligent (XAI) model without losing precision. © 2022 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129757487&doi=10.3390%2Fmath10091428&partnerID=40&md5=05a9331805ff5b3b281263ff7d6b668a,CE,Transportation,2-tuple fuzzy model; deep learning; LSTM; passenger forecasting; smart city; surrogate model; time series; XAI,Mathematics
Journal Article,"S., Boamah Mukherjee, E. F., Ganguly, P., Botchwey, N.",2021,A multilevel scenario based predictive analytics framework to model the community mental health and built environment nexus,Springer Nature,11,1,,"The built environment affects mental health outcomes, but this relationship is less studied and understood. This article proposes a novel multi-level scenario-based predictive analytics framework (MSPAF) to explore the complex relationships between community mental health outcomes and the built environment conditions. The MSPAF combines rigorously validated interpretable machine learning algorithms and scenario-based sensitivity analysis to test various hypotheses on how the built environment impacts community mental health outcomes across the largest metropolitan areas in the US. Among other findings, our results suggest that declining socio-economic conditions of the built environment (e.g., poverty, low income, unemployment, decreased access to public health insurance) are significantly associated with increased reported mental health disorders. Similarly, physical conditions of the built environment (e.g., increased housing vacancies and increased travel costs) are significantly associated with increased reported mental health disorders. However, this positive relationship between the physical conditions of the built environment and mental health outcomes does not hold across all the metropolitan areas, suggesting a mixed effect of the built environment's physical conditions on community mental health. We conclude by highlighting future opportunities of incorporating other variables and datasets into the MSPAF framework to test additional hypotheses on how the built environment impacts community mental health.",,CE,Environmental,NaN,Scientific Reports
Journal Article,"T., Nakagawa Namba, T., Isoda, H., Inayama, M., Tamura, A., Miyata, Y., Kado, Y.",2025,PARAMETER IDENTIFICATION OF NON-LINEAR RESPONSE ANALYSIS MODEL FOR FULL-SCALE FIVE STORY WOODEN BUILDING,Architectural Institute of Japan,31,77,222–227,"In this paper, parameter identification using interpretable machine learning and quality engineering is applied to a shaking table test data of a full-scale 5-story wooden structure. The following results are shown; 1) By the parameter identification for detailed analysis model, good agreement with experimental result is obtained. 2) It was confirmed that the difference between the analytical results and the experimental results becomes smaller when the capacity of some walls and other elements was increased. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218643439&doi=10.3130%2Faijt.31.222&partnerID=40&md5=262a8ced26300e220a5c3ab4b15a08e5,CE,Structural,Interpretable machine learning; Nonlinear response; Parameter identification; Quality engineering; Wooden building,AIJ Journal of Technology and Design
Journal Article,"H., Ciari Naseri, F., Isler, C. A.",2025,Influence of pedestrianization on travel behavior changes: a case study of Montreal,Elsevier Ltd,44,,,"Introduction: Pedestrianization promotes active modes of transportation and provides many benefits related to the environment, economy, health, and mobility. Nonetheless, it has often faced widespread opposition from residents and business owners. Therefore, it is essential to examine the effectiveness of pedestrianization programs (i.e., transforming streets into car-free zones). Objectives: This study investigates the influence of different variables on pedestrianization effectiveness in Montreal, Canada. The effectiveness of pedestrianization is evaluated in terms of frequency and duration of walking trips, duration spent in street shops, and route change. Methods: An online survey was distributed in Montreal. A powerful machine learning method (XGBoost) is used for modeling, and two interpretation techniques (SHapley Additive exPlanations and Partial Dependence Plots) are used to interpret the results of XGBoost. The performance of the developed interpretable machine learning approach is compared with Ordinal Logistic Regression. Results: The top variables impacting the effectiveness of pedestrianization are the level of agreement in redoing pedestrianization projects every year, the opinion on the influence of pedestrianization on individual mobility, the level of satisfaction with urban furniture of pedestrian streets, the level of satisfaction with the attractiveness of pedestrian streets, and age. Conclusions: Positive attitudes toward pedestrianization and active travel satisfaction are the top determining factors in supporting pedestrianization, and they play a vital role in the effectiveness of pedestrianization programs. Therefore, improving the urban furniture and the attractiveness of car-free streets increases the effectiveness of these projects. Among socio-demographics, age is the top variable, and pedestrianization is the most effective for individuals between 33 and 45 years. Accordingly, policymakers should prioritize the implementation of such projects in areas with the highest concentration of this age group to maximize their effectiveness. Further, travel behavior changes are highly dependent on the trip purpose and the built environment. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105010119680&doi=10.1016%2Fj.jth.2025.102123&partnerID=40&md5=403b4f3ad03d9c9ed8e429f3c58c60d6,CE,Transportation,Pedestrianization; Ensemble learning; Public support,Journal of Transport & Health
Journal Article,"S., Lu Naumets, M.",2021,Investigation into Explainable Regression Trees for Construction Engineering Applications,American Society of Civil Engineers (ASCE),147,8,,"The logic of an artificial intelligence (AI) model derived from machine learning algorithms and domain-specific data is analogous to an expert's perception of a complex problem. Human insight based on know-how and experience also provides the best clue to verify such analytical models generalized from data. To facilitate the acceptance and implementation of AI by industry professionals, we explored the least complicated form of model that still is sufficient to represent the complexities of real-world problems. This research established a framework to apply the M5P model tree in the context of producing explainable AI for practical applications. The explanatory information derived from M5P (a decision tree with linear regressions at leaf nodes) is instrumental in explaining how the more complicated AI model reasons for the same problem, illuminating the sufficiency of problem definition and data quality, and distinguishing valid submodels from invalid ones in the obtained model tree. A steel fabrication labor cost-estimating case and a concrete strength development case were given for method validation and application demonstration. © 2021 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107286076&doi=10.1061%2F%28ASCE%29CO.1943-7862.0002083&partnerID=40&md5=411870d721ca67db2f0a4ef34ca10717,CEM,Cost Estimation / Bidding,NaN,Journal of Construction Engineering and Management
Journal Article,"N. M., Cao Nguyen, M. T.",2025,Energy use intensity analysis of office buildings using green BIM-integrated Interpretable machine learning,Elsevier Ltd,108,,,"Accurately predicting the energy use intensity (EUI) of office buildings is essential for optimizing energy efficiency and implementing sustainable building practices. This study integrated green building information modelling (green BIM) with advanced machine learning (ML) techniques to develop EUI prediction models tailored to Taiwanese office buildings. A data set of 1006 unique BIM models was generated using Green Building Studio, which calculated the EUI for diverse configurations of architectural and environmental variables. The forensic-based investigation algorithm was employed for hyperparameter optimization, and it considerably enhanced the performance of the developed boosting-based ensemble models. Of all models, XGBoost exhibited the highest accuracy and robustness, achieving the lowest root-mean-square error (37.98 ± 11.81 MJ/m2/year) and mean absolute percentage error (1.86 % ± 0.50 %) for the test set, thereby outperforming the random forest, bagging, and adaptive weighted blended ensemble models. Feature importance analysis, conducted using the SHapley Additive exPlanations technique, revealed that the number of stories, geographical location, and floor area are the factors most strongly affecting EUI, consistent with real-world expectations. Overall, this study highlights the effectiveness of combining green-BIM-driven simulations, advanced ML models, and interpretability techniques to address energy efficiency challenges in office buildings. The findings provide actionable insights for architects, engineers, and policymakers seeking to design energy-efficient buildings and implement targeted energy-saving strategies. © 2025 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-105004349207&doi=10.1016%2Fj.jobe.2025.112760&partnerID=40&md5=2068de461562ca272b01af757843c0e4,CE,Energy,Energy use intensity; Energy-efficient buildings; Taiwan office buildings; Building information modelling; Machine learning; Ensemble model,Journal of Building Engineering
Journal Article,"X. H., Phan Nguyen, Q. M., Nguyen, N. T., Tran, V.",2024,Interpretable machine learning model for evaluating mechanical properties of concrete made with recycled concrete aggregate,John Wiley and Sons Inc,25,4,2890–2914,"The main objective of this paper is to use the data-driven approach to predict and evaluate the mechanical properties of concrete made with recycled concrete aggregate (RCA), including compressive strength and elastic modulus. Using 358 data samples, including 10 input variables, 10 popular machine learning (ML) algorithms are introduced to select the best ML performance model for predicting RCA concrete's compressive strength and elastic modulus. Gradient Boosting and Categorial Boosting have the best performance in predicting the compressive strength of RCA concrete, with R-2 = 0.9112, RMSE = 5.3464 MPa, MAE = 4.0845 MPa, and R-2 = 0.9175, RMSE = 5.1520 MPa, MAE = 3.7567 MPa, respectively. Light Gradient Boosting and Categorial Boosting have the best performance in predicting the elastic modulus of RCA concrete, with R-2 = 0.8775, RMSE = 2.3560 GPa, MAE = 1.8330 GPa, and R-2 = 0.9300, RMSE = 2.3560 MPa, MAE = 1.2589 MPa, respectively. Based on the Shapley Additive Explanation analysis, the influence of main factors on compressive strength and elastic modulus of RCA concrete values has been analyzed qualitatively and quantitatively. RCA replacement level and cement/sand ratio slightly affect compressive strength but have a dominant influence on the elastic modulus of RCA concrete.",,CE,Materials,compressive strength; elastic modulus; interpretable machine learning; RCA replacement level; recycled concrete aggregate,Structural Concrete
Journal Article,"M., Khattak Noman, A., Alam, Z., Yaqub, M., Noroozinejad Farsangi, E.",2024,Predicting the Residual Compressive Strength of Concrete Exposed to Elevated Temperatures Using Interpretable Machine Learning,American Society of Civil Engineers (ASCE),29,4,,"The accurate prediction of residual compressive strength (RCS) of concrete plays a critical role in assessing concrete constructions' safety and structural integrity following exposure to elevated temperatures. Existing ensemble models exhibit RCS prediction capabilities, yet they are constrained by their opaque nature. This research endeavors to develop an intelligible model for RCS by employing five ensemble machine-learning models, namely, random forest (RF), adaptive boosting (AdaBoost), gradient boosting (GBoost), light gradient boosting (LGBoost), and extreme gradient boosting (XGBoost), and integrating Shapley additive explanations (SHAP) to ascertain the precise importance of each input variable in forecasting the RCS of concrete under elevated temperature conditions. The input variables encompass concrete type, compressive strength, aggregate type, water-cement ratio, heating type, heating rate, maximum core temperature, and cooling type. Model performance is appraised using established performance metrics such as mean absolute error (MAE), mean squared error (MSE), root-mean squared error (RMSE), and coefficient of determination (R2). The analytical results exhibit the efficacy of employing machine-learning models in accurately predicting the RCS of concrete under elevated temperature conditions. Among the implemented models, XGBoost demonstrated the highest performance, yielding an R2 value of 0.876, closely trailed by the LGBoost model at 0.871. The SHAP analysis elucidates the crucial role of core temperature, water-cement ratio, heating rate, and compressive strength in determining the RCS of concrete. © 2024 Elsevier B.V., All rights reserved.",https://www.scopus.com/inward/record.uri?eid=2-s2.0-85197363671&doi=10.1061%2FPPSCFX.SCENG-1536&partnerID=40&md5=f976d6dbccea661e7b21d8e8285cf0fd,CE,Materials,Extreme gradient boosting (XGBoost); Shapley additive explanations (SHAP) analysis; Fire; Residual compressive strength (RCS); Core temperature,Practice Periodical on Structural Design and Construction
